유형,직업,호불호
ISFP,공무원,
ESTJ,꼰대 전문가,
ENTP,리서치,
INTJ,특허팀,
ENFJ,세무,
ENFP,광고,
ESTJ,사업 개발직,
ENXP,법무,불호
ESFJ,은행원,호
ENTP,마케팅,
ISTP,개발자,
ENFP,해외 영업직,
INFP,총무,
ISTP,초등교사,불호
INFP,교사,
ENFP,승무원,호
ESFJ,행정직,
INFP,판매직,
ESTP,회계사,호
ENFJ,개발자,
INTJ,온라인 MD,
ENFJ,비서,불호
ENTP,연구 개발직,
ESFJ,상품 기획 개발직,
INTP,전산 공무원,
ENFP,개발자,불호
INTP,생산 관리,불호
INTJ,설계,
INTP,공무원,불호
ENTP,디자인,
ISFJ,건보공단 건강직,
ENFP,기획,
ISTP,연구 개발,
ENTJ,기획 컨설팅,
ENFP,교육 영업,
ENTJ,승무원,
ISTJ,회계사,
INFP,승무원,
INXP,연구 개발,
ENTP,"브랜드 컨설팅 전략
마케팅",
ESXJ,디자이너,
INFJ,사무직,
ESFJ,서비스직,
ENFJ,공무원,
INTJ,R&D,
INFP,리서치,
ESTJ,엔지니어,
ENTP,기획,
ISFJ,은행원,불호
ENFP,기획자,
ENTJ,광고 마케팅,
INFP,연구 개발,
ISTJ,사무직,
ESFJ,개발자,
INFP,개발자,
ENTJ,임상 개발,
ISTJ,대감집 하청업체 사노비,
ENFP,영업직,
XSTP,온라인 MD,
ESFJ,사노비,
ENTJ,개발자,
XSFX,개발자,
ENFP,회계,
ENTJ,에디터,
ENTP,기획,
ISTJ,사무직,
ENFJ,제조 기술 사무직,
INFJ,교사,
ISTP,영업,호
ENFP,개발자,
ISFJ,사무직,
ESFJ,교사,
ISTP,연구직,
ESTJ,엔지니어,
ESFP,제약 영업직,
ESTJ,승무원,
ESFP,그래픽 아티스트,
ESFP,사무직,
INFJ,프로그래머,
ESFJ,재경,
ENTP,소프트웨어 개발,
ISFJ,공장 관리자,
XNFP,신탁 회계,
INFJ,간호사,
ENFP,MD,
INFP,월루,
INFJ,PM,
INFP,공노비,
INFP,연구 개발,
INTP,공무원,불호
ISTP,대민 업무,
ESTJ,공노비,
INTP,디자이너,
INFP,헤드헌팅,
INFP,마케터,
ISXP,대면 업무,불호
ENFP,개발자,
INTP,잡부,
INTP,노가다,
ESTJ,병원 행정,
ESFJ,투자 심사역,
EXFJ,브랜드 매니저,
ENTJ,막내,
ISFJ,개발,
INTJ,개발자,
INFP,디자이너,
INTJ,백엔드 프로그래머,
ENTJ,검토,
ISFJ,구매,
ENFP,R&D,
ISFP,바리스타,불호
INFP,승무원,
ESTJ,내수 영업,
INTP,사무직,
INTJ,프로그래머,호
ISTP,회계사,
ISTP,공기업 기계직,
ESFP,개발자,
INFJ,공무원,
ISFP,인력 관리,불호
ISFP,영업 지원,
ISTP,개발자,호
ENTP,온라인 MD,
INFP,게임 기획,불호
ESTJ,전략 기획,
INTP,개발,
ESFJ,프로젝트 PM,
ISFJ,홍보,
INTP,연구원,
ESFP,UI/UX 디자이너,
ENFJ,디지털 서비스 기획,
INTP,엔지니어,
ISXP,엔지니어,
ENFP,잡부,
ISTP,서비스직,
ENTP,잡부,
ESTJ,사무직,
INTP,개발자,
ISTJ,승무원,
ENFP,SCM,
ENTP,연구원,
INFP,바리스타,
INTJ,게임 그래픽,
ENFJ,서비스직,
INTJ,영업직,
ESFP,유통사 MD,
ISTP,여행사 영업직,
INFJ,프로그래머,
ESTJ,회계사,
ISFP,기술직 공무원,
ENTJ,공기업,불호
ENFP,사무직,
ESTP,디자이너,
ISTP,공기업,
INFP,은행원,불호
INFP,노가다꾼,
